Magic Item	Source	Pg. #	Legal Status	OGL Source
Window, Opacity	AC4 The Book of Marvelous Magic	71		
Window, Peeping	AC4 The Book of Marvelous Magic	71		
Window, Spying	AC4 The Book of Marvelous Magic	71		
Window, Visiting	AC4 The Book of Marvelous Magic	71		
Xantippe, Annoyance	AC4 The Book of Marvelous Magic	72		
Xebec, Xiphoid	AC4 The Book of Marvelous Magic	72		
Xylograph	AC4 The Book of Marvelous Magic	72		
Yellow Kohl	GAZ2 The Emirates of Ylaruam	60		
Yoke, Irritation	AC4 The Book of Marvelous Magic	72		
Yoke, Obedience	AC4 The Book of Marvelous Magic	72		
Yoke, Practical	Polyhedron #23	23		
Zither, Zombie Control	AC4 The Book of Marvelous Magic	73		
Zither, Zombie Protection	AC4 The Book of Marvelous Magic	73		
Zoster, Zeal	AC4 The Book of Marvelous Magic	73		
Zoster, Zoophobia	AC4 The Book of Marvelous Magic	73		
Zwieback, Zymurgy	AC4 The Book of Marvelous Magic	73		
